dataset,dataset_size,model,architecture,optimizer,learning_rate,batch_size,param_count,param_count_log10,learning_rate_log10,batch_size_log10,gradient_norm_log10,ntk_trace_proxy_log10,initial_loss_log10,T_conv,patience_P,min_delta,max_epochs,val_loss_prefix
TinyImageNet,100000,mixer,MLP,SGD,0.0005,256,1538760,6.187170888,-3.301029995,2.408239965,0.192153307,0.38430668,0.726963056,66,5,0.0001,250,"[5.23973822593689, 5.172282660007477, 5.0986527562141415, 5.031953597068787, 4.98008930683136, 4.937228465080262, 4.895300817489624, 4.849777209758758, 4.795706725120544, 4.734428250789643, 4.671313953399658, 4.611109888553619, 4.54783787727356, 4.48112701177597, 4.419698429107666, 4.378817546367645, 4.3060799717903135, 4.2607446372509, 4.21524686217308, 4.184245383739471]"
TinyImageNet,100000,mixer,MLP,AdamW,0.001,64,1538760,6.187170888,-3,1.806179974,0.23304995,0.466099916,0.729651764,11,5,0.0001,250,"[4.056813915823676, 3.558680179012809, 3.3053168005244746, 3.1449965534696154, 3.041209451711861, 2.982360671280296, 2.9970012333742373, 2.9871855799559577, 3.0946002872126877, 3.192335348979683, 3.270910124869863]"
TinyImageNet,100000,mixer,MLP,SGD,0.001,64,1538760,6.187170888,-3,1.806179974,0.184466989,0.368933971,0.73246793,23,5,0.0001,250,"[4.938893807162145, 4.628732429188528, 4.31453392611947, 4.112141124761788, 3.939778312755998, 3.8006932568398253, 3.736229175215314, 3.6253900057191304, 3.5194447921339873, 3.438899649176628, 3.371983973083982, 3.302823904972927, 3.2770035631337744, 3.24304438092906, 3.2006706249941685, 3.1804210532243085, 3.164343631950913, 3.1621828079223633, 3.1886838879554893, 3.1639096159843882]"
TinyImageNet,100000,mixer,MLP,AdamW,0.001,128,1538760,6.187170888,-3,2.10720997,0.208009364,0.416018704,0.726225863,11,5,0.0001,250,"[4.079206638698336, 3.5343424157251286, 3.2278083909915973, 3.0502330924891217, 2.9469765651075144, 2.8917398181142686, 2.924954631660558, 3.0124113197568096, 3.090858381005782, 3.4079262908500962, 3.558630931226513]"
TinyImageNet,100000,mixer,MLP,SGD,0.001,128,1538760,6.187170888,-3,2.10720997,0.152341488,0.304682995,0.725949015,31,5,0.0001,250,"[5.072975128511839, 4.918522460551202, 4.761338451240636, 4.543441283551952, 4.375402595423445, 4.201971811584279, 4.084710516507113, 3.9831067248235774, 3.889711796482907, 3.818909319141243, 3.7710928675494615, 3.718067440805556, 3.6702228769471374, 3.6132905121091046, 3.5784121917772898, 3.5398743876928016, 3.4822222733799415, 3.446834947489485, 3.417414010325565, 3.398261972620517]"
TinyImageNet,100000,mixer,MLP,AdamW,0.001,256,1538760,6.187170888,-3,2.408239965,0.222251755,0.444503533,0.72921827,11,5,0.0001,250,"[4.1067010223865505, 3.5109257340431212, 3.236251103878021, 3.070717251300812, 2.9488623678684234, 2.909625828266144, 2.954842948913574, 2.9732459604740145, 3.108032739162445, 3.299752098321915, 3.6324831306934358]"
TinyImageNet,100000,mixer,MLP,SGD,0.001,256,1538760,6.187170888,-3,2.408239965,0.187772641,0.375545276,0.72918605,45,5,0.0001,250,"[5.176980876922608, 5.046972930431366, 4.954866695404053, 4.880693149566651, 4.798326051235199, 4.677789664268493, 4.563638246059417, 4.46308467388153, 4.359011095762253, 4.269404393434525, 4.203656607866288, 4.110303235054016, 4.049845099449158, 4.002874982357025, 3.9697106540203095, 3.8989347159862517, 3.857025647163391, 3.867273473739624, 3.7957708835601807, 3.761526095867157]"
TinyImageNet,100000,mixer,MLP,AdamW,0.002,64,1538760,6.187170888,-2.698970004,1.806179974,0.146130287,0.292260599,0.726827161,11,5,0.0001,250,"[4.116503615288218, 3.7276854545447478, 3.4422805111879, 3.2774401288123647, 3.22034459508908, 3.0933955444651806, 3.1072838458285967, 3.127347426809323, 3.114998249491309, 3.124270323735134, 3.172897975156262]"
TinyImageNet,100000,mixer,MLP,SGD,0.002,64,1538760,6.187170888,-2.698970004,1.806179974,0.188339047,0.376678076,0.729307807,22,5,0.0001,250,"[4.710118673409626, 4.241802716710765, 3.9659371619011945, 3.816550022477557, 3.652974632894917, 3.5331137256257854, 3.4781908275215487, 3.3960270972768214, 3.3323652911338075, 3.227058113000955, 3.1581931235683953, 3.17585493348966, 3.096113520822707, 3.094126951922277, 3.0913082110654018, 3.1252204460702884, 3.077775440398295, 3.1173254228701257, 3.104898241674824, 3.1388132572174072]"
TinyImageNet,100000,mixer,MLP,AdamW,0.002,128,1538760,6.187170888,-2.698970004,2.10720997,0.225138081,0.45027616,0.730473276,12,5,0.0001,250,"[4.094741109051282, 3.6456879090659227, 3.4304963455924504, 3.2982738742345497, 3.1707109077067317, 3.093813838838022, 3.049547545517547, 3.0664335836338092, 3.161265158955055, 3.2549604554719562, 3.4132136694992643, 3.6164670050898686]"
TinyImageNet,100000,mixer,MLP,SGD,0.002,128,1538760,6.187170888,-2.698970004,2.10720997,0.17428599,0.348572004,0.732530003,24,5,0.0001,250,"[4.927901859524884, 4.599851686743241, 4.3146983219098445, 4.093869538246831, 3.9414685255364525, 3.841238423238827, 3.732624742049205, 3.6919504539876042, 3.5712860747228694, 3.5274888775016686, 3.4577375574956966, 3.416842451578454, 3.4068776957596403, 3.3185346760327303, 3.3008631301831595, 3.249094975145557, 3.2870291909085045, 3.243455410003662, 3.2168306187738347, 3.255623950233942]"
TinyImageNet,100000,mixer,MLP,AdamW,0.002,256,1538760,6.187170888,-2.698970004,2.408239965,0.214682408,0.42936481,0.729427252,11,5,0.0001,250,"[4.180984151363373, 3.585408365726471, 3.3140667974948883, 3.153005576133728, 3.081557106971741, 3.0051527202129362, 3.0290048360824584, 3.0771215558052063, 3.1901598036289216, 3.346006917953491, 3.611726772785187]"
