dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss,cnn_family,depth_signature,downsample_type
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.1486377440265829,0.25071791628004386,-7.600902459542082,11.002099841204238,28,True,,0.8801336650763881,-1.4526673988340297,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.36461772789583813,0.45730268429046744,-7.600902459542082,11.002099841204238,39,True,,0.8903095334473594,-1.4451805645001385,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.365061995171317,0.4602583671683138,-7.600902459542082,11.002099841204238,42,True,,0.8762824467045445,-1.4656097990240804,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.10593817446122372,0.2076558585978478,-7.600902459542082,11.002099841204238,27,True,,0.8656663918965088,-1.452764474771822,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.26242214004898734,0.38214402636350636,-7.600902459542082,11.002099841204238,10,True,,0.8709565744159075,-1.5064503365175899,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.23917431204340645,0.3404573989611103,-7.600902459542082,11.002099841204238,10,True,,0.8452554238929281,-1.696393918241746,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.04596372758655022,0.1466988860084319,-7.600902459542082,11.002099841204238,30,True,,0.9243769609481837,-1.4203502884088466,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.10774921597307426,0.20599926138325203,-7.600902459542082,11.002099841204238,38,True,,0.8167425729733591,-1.5722557710344764,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.4437511453976621,0.5688902724818401,-7.600902459542082,11.002099841204238,37,True,,0.8442028303360718,-1.4608162126938065,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.06472941100622097,0.16726587679534463,-7.600902459542082,11.002099841204238,29,True,,0.8830275107050153,-1.4723855407893929,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.16530907471823078,0.2689469268751232,-7.600902459542082,11.002099841204238,29,True,,0.8749537597223238,-1.4873246106871614,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.04918852838019291,0.15548226109944446,-7.600902459542082,11.002099841204238,30,True,,0.8639762839947059,-1.4393081452050753,vgg_lite,"[2, 2, 1]",pool
