dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss
MNIST,0.0005,32,0.15,12.507457899065408,3.4657359027997265,6.353950116182397,6.40304007506702,-7.600902459542082,11.002099841204238,8,True,,0.7971195423590847,-1.2570794218314196
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.30556723248511,6.468151528541643,-7.600902459542082,11.002099841204238,5,True,,0.9453279512203139,-1.094619279766719
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.2360176868572434,6.258273131111783,-7.600902459542082,11.002099841204238,5,True,,0.9742286242429572,-1.1795219192376392
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.147960052980056,6.205698921375579,-7.600902459542082,11.002099841204238,18,True,,0.9470042204956081,-1.0045344678440624
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.435031708013645,6.500159364663112,-7.600902459542082,11.002099841204238,5,True,,1.0347485716729163,-1.2703738894783803
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.032189091201388,6.092104244740327,-7.600902459542082,11.002099841204238,17,True,,1.0186202304144523,-0.9062988356120671
MNIST,0.0005,32,0.15,11.81718437922679,3.4657359027997265,5.091284405353301,5.159114049855543,-7.600902459542082,11.002099841204238,26,True,,0.9350971897729974,-1.136995633072021
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,5.9833916023587275,5.977859801679265,-7.600902459542082,11.002099841204238,20,True,,0.9600183520469059,-1.0511071062610717
MNIST,0.0005,32,0.15,12.726799093973426,3.4657359027997265,5.296843099101922,5.319578530540945,-7.600902459542082,11.002099841204238,11,True,,0.9699131408383479,-0.941513366468139
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,5.795848097261076,5.801214936502197,-7.600902459542082,11.002099841204238,21,True,,1.0169561665594393,-0.9565968204878553
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.714692445509581,5.778257424357055,-7.600902459542082,11.002099841204238,5,True,,0.9802037749150625,-1.2137323142151728
MNIST,0.0005,32,0.15,11.81718437922679,3.4657359027997265,4.956189353784723,5.0588642042373975,-7.600902459542082,11.002099841204238,29,True,,0.9558860221518871,-1.1616323785503702
MNIST,0.0005,32,0.15,12.507457899065408,3.4657359027997265,6.091356804126606,6.157577780419225,-7.600902459542082,11.002099841204238,9,True,,1.0239643299518275,-0.9383589137788689
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.015079462201454,5.9396952409028785,-7.600902459542082,11.002099841204238,19,True,,0.9964084102105032,-1.095866588698032
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.498497771445287,5.579581702197555,-7.600902459542082,11.002099841204238,5,True,,1.0468261913363743,-1.1578616300719535
MNIST,0.0005,32,0.15,12.726799093973426,3.4657359027997265,5.3644196123189705,5.408702733393425,-7.600902459542082,11.002099841204238,11,True,,1.0722681266407048,-0.9085281382502122
MNIST,0.0005,32,0.15,12.726799093973426,3.4657359027997265,5.370857008248525,5.403179183977301,-7.600902459542082,11.002099841204238,12,True,,1.0168806221806599,-0.8970352331947435
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.539114427540357,6.558116520755353,-7.600902459542082,11.002099841204238,5,True,,1.1043120992751405,-1.0511602240153441
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.496016766188058,6.536661163860417,-7.600902459542082,11.002099841204238,5,True,,1.0112783443449553,-1.3432897679022016
MNIST,0.0005,32,0.15,11.81718437922679,3.4657359027997265,5.5184719702560905,5.533380448570337,-7.600902459542082,11.002099841204238,26,True,,0.9616655484577921,-1.0011479941922865
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.75484348032963,5.779279471407812,-7.600902459542082,11.002099841204238,6,True,,1.1441126535822699,-1.4168664256141787
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,5.985864891353155,5.985580878181499,-7.600902459542082,11.002099841204238,19,True,,1.0022580376795205,-0.9438258804888907
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.175784049141105,6.162021289373689,-7.600902459542082,11.002099841204238,19,True,,1.0258842477016243,-0.9933814453616238
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.744939909049737,5.799071894489124,-7.600902459542082,11.002099841204238,5,True,,0.9708996038623576,-1.0495136073639306
MNIST,0.0005,32,0.2,11.81718437922679,3.4657359027997265,5.2784290693072675,5.416743804541565,-7.600902459542082,11.002099841204238,19,True,,0.9261088048482138,-0.7419551160121254
