dataset,transformer,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.429617551,9.980939584,-7.60090246,6.907755279,0.832453308,0.018340408,13,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.47630353,10.06966609,-7.60090246,6.907755279,0.849076413,0.046571843,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.432644724,9.979992051,-7.60090246,6.907755279,0.822906825,0.105631322,13,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.480678413,10.06729689,-7.60090246,6.907755279,0.794145447,0.025544602,50,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.418218528,9.943145189,-7.60090246,6.907755279,0.802187928,0.024426572,16,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.456213647,10.0458249,-7.60090246,6.907755279,0.865631279,0.137286667,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.351092252,9.948040735,-7.60090246,6.907755279,0.872114968,0.167215719,25,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.492590499,9.975614917,-7.60090246,6.907755279,0.88344733,0.052521552,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.407456307,9.975032442,-7.60090246,6.907755279,0.855902522,-0.013359277,74,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.507163914,10.02339542,-7.60090246,6.907755279,0.884562707,0.165324955,19,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.399971827,9.931067808,-7.60090246,6.907755279,0.872619494,0.062124804,19,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.35461969,9.916138413,-7.60090246,6.907755279,0.872804579,-0.076329179,11,TRUE
