dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.1,11.68082688,3.465735903,1.44013696,4.986349445,-7.60090246,11.00209984,0.839246256,-1.543093372,53,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.717362465,6.300939031,-7.60090246,11.00209984,0.837330994,-1.487684978,68,TRUE
MNIST,0.0005,50,0.1,11.60263819,3.465735903,1.270470252,4.84773239,-7.60090246,11.00209984,0.843852027,-1.473820898,65,TRUE
MNIST,0.0005,50,0.1,10.91599714,3.465735903,1.423768047,5.015591193,-7.60090246,11.00209984,0.847607791,-1.483423498,78,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.730630868,6.286073977,-7.60090246,11.00209984,0.839229981,-1.474821581,64,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.80598244,6.332591103,-7.60090246,11.00209984,0.846270191,-1.474081419,84,TRUE
MNIST,0.0005,50,0.1,12.50366297,3.465735903,1.439485216,5.006577578,-7.60090246,11.00209984,0.834280727,-1.585571028,35,TRUE
MNIST,0.0005,50,0.1,11.14836235,3.465735903,1.540899189,5.128533028,-7.60090246,11.00209984,0.835507079,-1.530934661,56,TRUE
MNIST,0.0005,50,0.15,11.0667946,3.465735903,0.620611781,4.188872224,-7.60090246,11.00209984,0.839230702,-1.073160479,65,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.849194797,6.421557502,-7.60090246,11.00209984,0.836926357,-1.108472229,40,TRUE
MNIST,0.0005,50,0.15,11.45268702,3.465735903,0.82710494,4.393692973,-7.60090246,11.00209984,0.833889144,-1.092358081,50,TRUE
MNIST,0.0005,50,0.15,10.99959671,3.465735903,1.342276018,4.909460385,-7.60090246,11.00209984,0.832837885,-1.125731908,61,TRUE
MNIST,0.0005,50,0.15,11.33831014,3.465735903,0.506803579,4.069655776,-7.60090246,11.00209984,0.829433457,-1.113063673,58,TRUE
MNIST,0.0005,50,0.15,11.45268702,3.465735903,0.74302085,4.311316934,-7.60090246,11.00209984,0.838227838,-1.084877368,51,TRUE
MNIST,0.0005,50,0.15,12.31141416,3.465735903,0.553114762,4.118002665,-7.60090246,11.00209984,0.834766419,-1.065858952,55,TRUE
MNIST,0.0005,50,0.15,12.4358263,3.465735903,0.65732706,4.222649985,-7.60090246,11.00209984,0.835044606,-1.21647468,41,TRUE
MNIST,0.0005,50,0.15,11.14836235,3.465735903,1.480721287,5.077988508,-7.60090246,11.00209984,0.830575477,-1.129444065,54,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.95386397,6.512534292,-7.60090246,11.00209984,0.832469797,-1.0963133,41,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.89986018,6.463167531,-7.60090246,11.00209984,0.82732293,-1.11990037,41,TRUE
MNIST,0.0005,50,0.15,11.68082688,3.465735903,1.44107146,5.018469324,-7.60090246,11.00209984,0.836084456,-1.091148416,46,TRUE
MNIST,0.0005,50,0.15,11.24324047,3.465735903,0.614270245,4.211948658,-7.60090246,11.00209984,0.829732057,-1.078868556,55,TRUE
MNIST,0.0005,50,0.15,10.83742172,3.465735903,2.841169386,6.416841228,-7.60090246,11.00209984,0.840639875,-1.062404318,74,TRUE
MNIST,0.0005,50,0.15,12.50413812,3.465735903,0.766811626,4.325710824,-7.60090246,11.00209984,0.832779311,-1.159662068,43,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.802512798,6.37121049,-7.60090246,11.00209984,0.825058131,-1.085002337,37,TRUE
MNIST,0.0005,50,0.15,11.14836235,3.465735903,1.444191246,5.015937029,-7.60090246,11.00209984,0.838425687,-1.074356159,52,TRUE
MNIST,0.0005,50,0.15,12.31141416,3.465735903,0.701068058,4.257836176,-7.60090246,11.00209984,0.839395706,-1.133137754,53,TRUE
MNIST,0.0005,50,0.15,11.53047064,3.465735903,2.793477872,6.371475678,-7.60090246,11.00209984,0.835900819,-1.110468338,56,TRUE
MNIST,0.0005,50,0.15,10.98884573,3.465735903,0.476072171,4.066192103,-7.60090246,11.00209984,0.830724046,-1.127327862,74,TRUE
MNIST,0.0005,50,0.15,12.36796188,3.465735903,1.31827724,4.889049437,-7.60090246,11.00209984,0.833446643,-1.121583274,37,TRUE
MNIST,0.0005,50,0.15,12.21535939,3.465735903,0.808905682,4.362318052,-7.60090246,11.00209984,0.836709933,-1.078794399,38,TRUE
MNIST,0.0005,50,0.15,11.20653617,3.465735903,0.779785931,4.360060224,-7.60090246,11.00209984,0.83371339,-1.127206138,62,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.824849734,6.421386712,-7.60090246,11.00209984,0.829238398,-1.07368096,38,TRUE
MNIST,0.0005,50,0.15,12.4358263,3.465735903,0.578799523,4.143816284,-7.60090246,11.00209984,0.835369455,-1.105926955,42,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.929653472,6.513316997,-7.60090246,11.00209984,0.831835539,-1.114668866,37,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.838573805,6.412258325,-7.60090246,11.00209984,0.831613962,-1.086037263,41,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.849940482,6.423476633,-7.60090246,11.00209984,0.838449913,-1.094541007,41,TRUE
MNIST,0.0005,50,0.15,12.29251636,3.465735903,1.503278379,5.035137879,-7.60090246,11.00209984,0.843126554,-1.067060135,42,TRUE
MNIST,0.0005,50,0.15,11.0667946,3.465735903,0.611678457,4.222523934,-7.60090246,11.00209984,0.831631192,-1.103683204,67,TRUE
MNIST,0.0005,50,0.15,10.83742172,3.465735903,2.742998604,6.291388677,-7.60090246,11.00209984,0.836708694,-1.068179502,69,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.984289606,6.557309696,-7.60090246,11.00209984,0.832773609,-1.115078702,38,TRUE
MNIST,0.0005,50,0.15,10.83742172,3.465735903,2.761922838,6.395813558,-7.60090246,11.00209984,0.836658298,-1.069450514,68,TRUE
MNIST,0.0005,50,0.15,11.14836235,3.465735903,1.385711824,4.957199366,-7.60090246,11.00209984,0.840626914,-1.135461456,55,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.925274729,6.497492917,-7.60090246,11.00209984,0.837636635,-1.104495612,41,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.933441027,6.509869195,-7.60090246,11.00209984,0.835917458,-1.116115583,42,TRUE
MNIST,0.0005,50,0.15,10.91599714,3.465735903,1.136229967,4.701333532,-7.60090246,11.00209984,0.833837778,-1.068297978,76,TRUE
MNIST,0.0005,50,0.15,11.53047064,3.465735903,2.763327057,6.279076049,-7.60090246,11.00209984,0.832166308,-1.08738008,52,TRUE
MNIST,0.0005,50,0.15,11.82095413,3.465735903,1.517912471,5.088920831,-7.60090246,11.00209984,0.836476212,-1.146497569,44,TRUE
MNIST,0.0005,50,0.15,11.68136782,3.465735903,0.549499249,4.122068085,-7.60090246,11.00209984,0.834162709,-1.112325851,58,TRUE
MNIST,0.0005,50,0.15,12.29251636,3.465735903,1.410647292,5.014648511,-7.60090246,11.00209984,0.838108429,-1.10797872,45,TRUE
MNIST,0.0005,50,0.15,11.81150297,3.465735903,0.495359358,4.083441888,-7.60090246,11.00209984,0.831581578,-1.144107502,50,TRUE
MNIST,0.0005,50,0.15,11.63996332,3.465735903,0.450863763,4.003729077,-7.60090246,11.00209984,0.839237191,-1.101756723,63,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.970967794,6.555950036,-7.60090246,11.00209984,0.827546085,-1.141726401,37,TRUE
MNIST,0.0005,50,0.15,12.22356869,3.465735903,2.920349819,6.480870755,-7.60090246,11.00209984,0.829566491,-1.100496497,42,TRUE
MNIST,0.0005,50,0.15,12.29251636,3.465735903,1.375503393,4.941423599,-7.60090246,11.00209984,0.83178251,-1.120406927,42,TRUE
MNIST,0.0005,50,0.15,12.36796188,3.465735903,1.393676211,4.974746935,-7.60090246,11.00209984,0.826711579,-1.077151213,36,TRUE
